Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
03-29-2023 12:25,General ,TWITTER,Community Engagement ,12469,64,Link
03-29-2023 12:25,General ,TWITTER,Community Engagement ,139835,1095,Photo
03-29-2023 12:25,General ,FBPAGE,Community Engagement ,15882,171,Photo
03-29-2023 12:12,Valorant,YOUTUBE,Evil Exhibited ,757,39,Video
03-29-2023 11:33,General ,TWITTER,Community Engagement ,11436,188,Video
03-29-2023 11:30,General ,YOUTUBE,N/A ,0,0,Video
03-29-2023 11:01,General,LINKEDIN_COMPANY,Community Engagement ,888,23,Video
03-29-2023 11:00,General ,TWITTER,Community Engagement ,17971,150,Video
03-29-2023 10:49,General ,TWITTER,Community Engagement ,504,19,Text
03-29-2023 10:27,General ,TWITTER,Community Engagement ,1942,24,Text
03-29-2023 09:07,General ,INSTAGRAM,N/A ,0,0,Text
03-29-2023 09:05,General ,INSTAGRAM,Community Engagement ,23671,1340,Video
03-29-2023 09:00,General ,TWITTER,Community Engagement ,17441,599,Video
03-29-2023 09:00,DOTA2,TWITTER,Community Engagement ,7322,615,Video
03-29-2023 09:00,General ,FBPAGE,Community Engagement ,16352,4981,Video
03-29-2023 09:00,General ,FBPAGE,Community Engagement ,136321,19984,Video
03-29-2023 07:35,DOTA2,TWITTER,N/A ,153,11,Text
03-29-2023 07:30,DOTA2,TWITTER,Evil Exhibited ,1027,24,Photo
03-29-2023 07:30,General ,FBPAGE,Evil Exhibited ,19260,1086,Photo
03-28-2023 23:14,CSGO,TWITTER,N/A ,0,0,Text
03-28-2023 23:11,CSGO,TWITTER,N/A ,0,0,Text
03-28-2023 23:11,CSGO,TWITTER,N/A ,0,0,Text
03-28-2023 23:11,CSGO,TWITTER,N/A ,0,0,Text
03-28-2023 23:11,CSGO,TWITTER,N/A ,0,0,Text
03-28-2023 23:10,CSGO,TWITTER,N/A ,0,0,Text
03-28-2023 23:10,CSGO,TWITTER,Community Engagement ,19297,250,Photo
03-28-2023 21:29,CSGO,TWITTER,Community Engagement ,846,11,Photo
03-28-2023 21:23,CSGO,TWITTER,Community Engagement ,2940,484,Video
03-28-2023 20:09,CSGO,TWITTER,Community Engagement ,1206,10,Photo
03-28-2023 19:16,CSGO,TWITTER,Community Engagement ,2068,53,Photo
03-28-2023 17:46,CSGO,TWITTER,Community Engagement ,665,10,Photo
03-28-2023 17:30,General ,INSTAGRAM,Evil Exhibited ,7031,107,Photo
03-28-2023 17:30,General ,FBPAGE,Evil Exhibited ,13976,93,Photo
03-28-2023 17:30,General ,TWITTER,Evil Exhibited ,12802,100,Photo
03-28-2023 17:29,General ,YOUTUBE,N/A ,136,5,Video
03-28-2023 17:08,DOTA2,TWITTER,N/A ,732,24,Text
03-28-2023 16:47,CSGO,TWITTER,Community Engagement ,997,15,Photo
03-28-2023 16:31,General ,INSTAGRAM,N/A ,0,0,Photo
03-28-2023 16:31,General ,INSTAGRAM,Community Engagement ,4544,0,Photo
03-28-2023 16:30,General ,TWITTER,Community Engagement ,61508,1095,Photo
03-28-2023 16:30,General ,FBPAGE,Community Engagement ,16669,133,Photo
03-28-2023 16:08,General ,TWITTER,N/A ,0,0,Text
03-28-2023 16:03,Valorant,YOUTUBE,Evil Exhibited ,0,0,Video
03-28-2023 15:30,CSGO,TWITTER,Community Engagement ,816,8,Photo
03-28-2023 15:30,General ,TWITTER,Community Engagement ,13362,65,Photo
03-28-2023 14:59,Valorant,YOUTUBE,Evil Exhibited ,3,0,Video
03-28-2023 14:35,CSGO,TWITTER,Community Engagement ,2365,38,Photo
03-28-2023 14:03,General ,TIKTOK_BUSINESS,N/A ,196,11,Video
03-28-2023 14:02,General ,INSTAGRAM,N/A ,24772,1145,Video
03-28-2023 14:00,General ,FBPAGE,Community Engagement ,16977,140,Photo
03-28-2023 14:00,General ,TWITTER,Community Engagement ,24400,435,Photo
03-28-2023 13:43,General ,TWITTER,Evil Exhibited ,434,30,Text
03-28-2023 12:43,General ,FBPAGE,Evil Exhibited ,8040,258,Video
03-28-2023 12:42,DOTA2,TWITTER,Evil Exhibited ,0,0,Video
03-28-2023 12:42,General ,TWITTER,Evil Exhibited ,43253,1126,Video
03-28-2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text
03-28-2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text
03-28-2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text
03-28-2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text
03-28-2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text
03-28-2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text
03-28-2023 12:41,General ,INSTAGRAM,Evil Exhibited ,7136,104,Video
03-28-2023 12:23,General ,INSTAGRAM,N/A ,0,0,Text
03-28-2023 12:23,General ,INSTAGRAM,N/A ,8580,178,Video
03-28-2023 10:45,Valorant,YOUTUBE,Evil Exhibited ,1,0,Video
03-27-2023 22:18,CSGO,TWITTER,Community Engagement ,894,9,Photo
03-27-2023 21:11,CSGO,TWITTER,Community Engagement ,1219,14,Photo
03-27-2023 20:05,CSGO,TWITTER,Community Engagement ,691,7,Photo
03-27-2023 19:04,CSGO,TWITTER,Community Engagement ,2200,36,Photo
03-27-2023 17:08,CSGO,TWITTER,Community Engagement ,727,7,Photo
03-27-2023 16:00,General ,INSTAGRAM,Community Engagement ,4699,0,Photo
03-27-2023 15:36,CSGO,TWITTER,Community Engagement ,1128,14,Photo
03-27-2023 14:34,CSGO,TWITTER,Community Engagement ,1886,24,Photo
03-27-2023 14:31,General ,TWITTER,Community Engagement ,22549,725,Photo
03-27-2023 14:30,General ,INSTAGRAM,Community Engagement ,8380,327,Carousel
03-27-2023 11:23,General ,TWITTER,Community Engagement ,1648,42,Text
03-27-2023 11:02,General ,TWITTER,Community Engagement ,97345,808,Photo
03-27-2023 10:41,General ,TIKTOK_BUSINESS,N/A ,2595,134,Video
03-27-2023 10:20,General ,TWITTER,Evil Exhibited ,297,12,Text
03-27-2023 10:00,General ,TWITTER,Evil Exhibited ,26952,719,Video
03-27-2023 09:00,General ,FBPAGE,Community Engagement ,26354,277,Photo
03-27-2023 08:52,DOTA2,TWITTER,N/A ,0,0,Photo
03-27-2023 08:51,DOTA2,TWITTER,N/A ,588,42,Photo
03-26-2023 23:16,General ,TWITTER,Evil Exhibited ,114,2,Text
03-26-2023 23:14,General ,TWITTER,Evil Exhibited ,242,16,Text
03-26-2023 23:14,General ,TWITTER,N/A ,0,0,Text
03-26-2023 23:13,General ,TWITTER,Evil Exhibited ,293,5,Text
03-26-2023 23:13,General ,TWITTER,N/A ,0,0,Text
03-26-2023 23:09,General ,TWITTER,Evil Exhibited ,209,4,Text
03-26-2023 23:09,General ,TWITTER,Evil Exhibited ,201,5,Text
03-26-2023 23:08,General ,TWITTER,N/A ,0,0,Text
03-26-2023 23:08,General ,TWITTER,N/A ,0,0,Text
03-26-2023 23:06,General ,TWITTER,Evil Exhibited ,123,4,Text
03-26-2023 23:05,General ,TWITTER,N/A ,0,0,Link
03-26-2023 23:01,General ,TWITTER,Evil Exhibited ,100899,464,Photo
03-26-2023 21:52,General ,TWITTER,Evil Exhibited ,11145,35,Photo
03-26-2023 20:53,General ,TWITTER,Evil Exhibited ,19084,91,Photo
03-26-2023 20:00,DOTA2,TWITTER,N/A ,10,0,Text
03-26-2023 18:15,General ,TWITTER,N/A ,0,0,Link
03-26-2023 18:01,General ,TWITTER,Evil Exhibited ,56409,206,Photo
03-26-2023 17:20,General ,TWITTER,Community Engagement ,13601,154,Photo
03-26-2023 17:18,General ,INSTAGRAM,N/A ,0,0,Photo
03-26-2023 17:18,General ,INSTAGRAM,Community Engagement ,3831,0,Photo
03-26-2023 17:14,General ,INSTAGRAM,Community Engagement ,3993,0,Photo
03-26-2023 17:14,General ,TWITTER,N/A ,0,0,Photo
03-26-2023 16:53,General ,INSTAGRAM,Community Engagement ,4044,0,Video
03-26-2023 16:52,General ,TWITTER,N/A ,0,0,Photo
03-26-2023 16:49,General ,INSTAGRAM,N/A ,0,0,Text
03-26-2023 16:46,DOTA2,TWITTER,N/A ,204,6,Text
03-26-2023 16:44,DOTA2,TWITTER,N/A ,4921,403,Photo
03-26-2023 16:42,General ,TWITTER,N/A ,13633,174,Photo
03-26-2023 16:42,DOTA2,TWITTER,Community Engagement ,948,24,Photo
03-26-2023 16:42,General ,FBPAGE,Community Engagement ,24893,1610,Photo
03-26-2023 16:41,General ,INSTAGRAM,Community Engagement ,4233,0,Photo
03-26-2023 16:40,General ,TWITTER,N/A ,0,0,Photo
03-26-2023 16:40,General ,TWITTER,Community Engagement ,13080,169,Photo
03-26-2023 16:35,DOTA2,TWITTER,N/A ,0,0,Photo
03-26-2023 16:35,General ,TWITTER,Community Engagement ,12303,350,Photo
03-26-2023 16:34,DOTA2,TWITTER,N/A ,858,14,Text
03-26-2023 16:27,General ,TWITTER,Community Engagement ,28257,937,Text
03-26-2023 15:55,DOTA2,TWITTER,N/A ,140,2,Video
03-26-2023 15:52,DOTA2,TWITTER,N/A ,661,14,Link
03-26-2023 15:40,General ,TWITTER,Community Engagement ,2124,40,Video
03-26-2023 15:39,General ,TWITTER,N/A ,0,0,Photo
03-26-2023 15:39,General ,TWITTER,Community Engagement ,11554,232,Video
03-26-2023 15:38,DOTA2,TWITTER,N/A ,779,21,Video
03-26-2023 15:27,General ,INSTAGRAM,N/A ,0,0,Photo
03-26-2023 15:26,General ,INSTAGRAM,Community Engagement ,4312,0,Video
03-26-2023 15:07,General ,INSTAGRAM,N/A ,0,0,Photo
03-26-2023 14:59,DOTA2,TWITTER,N/A ,617,12,Link
03-26-2023 14:55,DOTA2,TWITTER,N/A ,0,0,Photo
03-26-2023 14:54,General ,TWITTER,N/A ,0,0,Photo
03-26-2023 14:47,General ,TWITTER,Community Engagement ,5202,226,Photo
03-26-2023 14:45,General ,TWITTER,Community Engagement ,10227,93,Photo
03-26-2023 14:44,General ,TWITTER,N/A ,0,0,Video
03-26-2023 14:43,DOTA2,TWITTER,N/A ,1171,30,Text
03-26-2023 14:41,DOTA2,TWITTER,N/A ,0,0,Video
03-26-2023 14:39,General ,TWITTER,Community Engagement ,1839,58,Video
03-26-2023 14:39,DOTA2,TWITTER,N/A ,355,9,Text
03-26-2023 14:38,General ,TWITTER,N/A ,0,0,Video
03-26-2023 14:38,General ,TWITTER,Community Engagement ,12912,211,Photo
03-26-2023 14:18,DOTA2,TWITTER,N/A ,585,9,Video
03-26-2023 14:05,DOTA2,TWITTER,N/A ,562,13,Photo
03-26-2023 14:02,DOTA2,TWITTER,Community Engagement ,1040,29,Photo
03-26-2023 14:02,General ,FBPAGE,Community Engagement ,16814,829,Photo
03-26-2023 14:01,General ,TWITTER,Community Engagement ,31115,221,Photo
03-26-2023 14:01,General ,INSTAGRAM,Community Engagement ,4347,0,Photo
03-26-2023 13:52,DOTA2,TWITTER,N/A ,12015,526,Photo
03-26-2023 13:46,General ,INSTAGRAM,Community Engagement ,4630,0,Video
03-26-2023 12:36,General ,FBPAGE,N/A ,0,0,Text
03-26-2023 12:32,General ,FBPAGE,N/A ,0,0,Text
03-26-2023 12:30,General ,FBPAGE,Community Engagement ,42175,11988,Photo
03-26-2023 12:30,General ,FBPAGE,Community Engagement ,21088,5994,Photo
03-26-2023 12:30,General ,FBPAGE,Community Engagement ,21088,5994,Photo
03-26-2023 12:30,DOTA2,TWITTER,Community Engagement ,4722,637,Photo
03-26-2023 12:09,DOTA2,TWITTER,N/A ,206,3,Text
03-26-2023 12:06,General ,FBPAGE,N/A ,0,0,Text
03-26-2023 12:02,DOTA2,TWITTER,N/A ,666,5,Text
03-26-2023 12:01,DOTA2,TWITTER,Community Engagement ,3723,161,Photo
03-26-2023 12:01,General ,FBPAGE,Community Engagement ,41892,4219,Photo
03-26-2023 12:00,General ,TWITTER,Community Engagement ,20912,378,Photo
03-26-2023 12:00,General ,INSTAGRAM,Community Engagement ,17411,528,Carousel
03-26-2023 12:00,DOTA2,TWITTER,Community Engagement ,999,23,Photo
03-26-2023 12:00,General ,FBPAGE,Community Engagement ,16484,782,Photo
03-26-2023 11:00,General ,TWITTER,Community Engagement ,9539,82,Photo
03-26-2023 10:16,General ,FBPAGE,N/A ,0,0,Text
03-26-2023 10:12,DOTA2,TWITTER,Community Engagement ,1419,58,Photo
03-26-2023 10:12,General ,FBPAGE,Community Engagement ,26659,1554,Photo
03-26-2023 10:06,General ,FBPAGE,N/A ,0,0,Text
03-26-2023 10:06,General ,FBPAGE,N/A ,0,0,Text
03-26-2023 10:05,General ,FBPAGE,N/A ,0,0,Text
03-26-2023 10:02,DOTA2,TWITTER,N/A ,0,0,Photo
03-26-2023 10:00,General ,INSTAGRAM,Community Engagement ,9547,321,Photo
03-26-2023 10:00,General ,TWITTER,Community Engagement ,11448,131,Photo
03-26-2023 09:29,General ,INSTAGRAM,Community Engagement ,5825,0,Photo
03-26-2023 09:04,General ,TWITTER,Community Engagement ,2773,27,Text
03-26-2023 09:00,DOTA2,TWITTER,N/A ,0,0,Photo
03-26-2023 09:00,General ,TWITTER,N/A ,0,0,Photo
03-26-2023 07:59,General ,FBPAGE,N/A ,0,0,Text
03-26-2023 07:58,General ,FBPAGE,N/A ,0,0,Text
03-26-2023 07:58,DOTA2,TWITTER,N/A ,465,15,Photo
03-26-2023 07:57,General ,FBPAGE,N/A ,26074,3969,Photo
03-26-2023 07:54,General ,FBPAGE,N/A ,0,0,Text
03-26-2023 07:47,General ,FBPAGE,Community Engagement ,0,0,Photo
03-26-2023 07:47,General ,FBPAGE,Community Engagement ,26074,3969,Photo
03-26-2023 07:47,General ,FBPAGE,Community Engagement ,52147,7937,Photo
03-26-2023 07:47,DOTA2,TWITTER,Community Engagement ,3371,176,Photo
03-25-2023 19:21,CSGO,TWITTER,Community Engagement ,1015,15,Photo
03-25-2023 18:14,CSGO,TWITTER,Community Engagement ,1310,10,Photo
03-25-2023 17:53,General ,TWITTER,Evil Exhibited ,14708,37,Photo
03-25-2023 17:10,CSGO,TWITTER,Community Engagement ,1986,28,Photo
03-25-2023 16:41,General ,TWITTER,Evil Exhibited ,17251,321,Video
03-25-2023 16:38,General ,TWITTER,Evil Exhibited ,14698,12,Photo
03-25-2023 16:33,General ,TWITTER,Evil Exhibited ,13082,236,Video
03-25-2023 15:44,General ,TWITTER,Evil Exhibited ,22450,70,Photo
03-25-2023 14:58,General ,TWITTER,N/A ,0,0,Link
03-25-2023 14:09,General ,TWITTER,Evil Exhibited ,8707,29,Photo
03-25-2023 13:12,General ,TWITTER,Evil Exhibited ,16491,91,Photo
03-25-2023 12:00,General ,TWITTER,Community Engagement ,9919,57,Photo
03-25-2023 11:01,General ,INSTAGRAM,N/A ,0,0,Text
03-25-2023 11:01,General ,INSTAGRAM,N/A ,0,0,Text
03-25-2023 11:00,General ,INSTAGRAM,Community Engagement ,13290,276,Carousel
03-25-2023 11:00,General ,TWITTER,Community Engagement ,13271,479,Photo
03-25-2023 11:00,DOTA2,TWITTER,Community Engagement ,1085,51,Photo
03-25-2023 11:00,General ,FBPAGE,Community Engagement ,28898,1041,Photo
03-25-2023 10:13,General ,FBPAGE,Community Engagement ,20993,1561,Photo
03-25-2023 10:09,DOTA2,TWITTER,N/A ,978,16,Photo
03-25-2023 10:07,General ,TWITTER,Community Engagement ,185,8,Text
03-25-2023 10:06,General ,TWITTER,N/A ,0,0,Photo
03-25-2023 10:00,General ,INSTAGRAM,Community Engagement ,9488,229,Photo
03-25-2023 10:00,General ,INSTAGRAM,N/A ,0,0,Text
03-25-2023 10:00,General ,INSTAGRAM,N/A ,0,0,Text
